37.6	43
0.60	4
2.60	88
65.1	95
23.0	99
30.4	15
22.0	38
97.1	83
24.4	25
61.6	6
20.6	75
95.1	59
31.4	94
17.6	97
81.6	84
60.4	10
8.70	7
86.9	49
79.2	36
61.3	31
39.3	10
96.6	51
94.7	77
4.00	13
20.8	32
79.5	64
43.5	27
63.9	15
62.0	95
43.9	81
88.5	25
50.0	10
93.8	41
40.1	90
55.3	59
79.3	87
